Alarm Name,Alarm ID,Severity,Managed Object Type Name,Managed Object Type ID,Managed Object Type Version ID,Alarm Group Name,Alarm Group ID
NetEco Certificate Will Expire,61581,Major,Controller,8214,1,Controller,278468729
Northbound TCP-MODBUS Certificate Will Expire,61582,Major,Controller,8214,1,Controller,278468729
NetEco Certificate Expired,61651,Major,Controller,8214,1,Controller,278468729
Offline Early Warning,61652,Warning,Controller,8214,1,Controller,278468729
Northbound TCP-MODBUS Certificate Expired,61656,Major,Controller,8214,1,Controller,278468729
SYS-LOG Certificate Expired,61657,Major,Controller,8214,1,Controller,278468729
SYS-LOG Certificate Will Expire,61712,Major,Controller,8214,1,Controller,278468729
Southbound TCP-MODBUS Certificate Expired,61834,Major,Controller,8214,1,Controller,278468729
Southbound TCP-MODBUS Certificate Will Expire,61835,Major,Controller,8214,1,Controller,278468729
Storage Space Abnormal,62297,Major,Controller,8214,1,Controller,278468729
ONVIF Certificate Is About to Expire,63007,Major,Controller,8214,1,Controller,278468729
ONVIF Certificate has expired,63008,Major,Controller,8214,1,Controller,278468729
The traffic usage exceed threshold.,181195,Warning,Controller,8214,1,Controller,278468729
Communication Between NMS And NE Is Abnormal,999999999,Major,Controller,8214,1,Controller,278468729
NetEco Certificate Expired,0,Major,Controller,8214,2,Controller,278468729
Mask SC Alarm,15264,Major,Controller,8214,2,Controller,278468729
All Alarms Blocked,15269,Major,Controller,8214,2,Controller,278468729
WEB Certificate Invalid ,15296,Major,Controller,8214,2,Controller,278468729
WEB Certificate Will Expire,15297,Major,Controller,8214,2,Controller,278468729
WEB Certificate Expired,15298,Major,Controller,8214,2,Controller,278468729
Traffic Fluctuation Alarm,15306,Warning,Controller,8214,2,Controller,278468729
SMU Fault,21001,Major,Controller,8214,2,Controller,278468729
Insufficient Alarm Space,21002,Warning,Controller,8214,2,Controller,278468729
Abnormal System Voltage Check,21003,Major,Controller,8214,2,Controller,278468729
Abnormal System Current Check,21004,Major,Controller,8214,2,Controller,278468729
NetEco Certificate Will Expire,61581,Major,Controller,8214,2,Controller,278468729
Northbound TCP-MODBUS Certificate Will Expire,61582,Major,Controller,8214,2,Controller,278468729
NetEco Certificate Expired,61651,Major,Controller,8214,2,Controller,278468729
Offline Early Warning,61652,Warning,Controller,8214,2,Controller,278468729
Northbound TCP-MODBUS Certificate Expired,61656,Major,Controller,8214,2,Controller,278468729
SYS-LOG Certificate Expired,61657,Major,Controller,8214,2,Controller,278468729
SYS-LOG Certificate Will Expire,61712,Major,Controller,8214,2,Controller,278468729
